r_mean,g_mean,b_mean,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,grad_mean,grad_std,label
107.2553,76.0338,40.9771,91.4167,121.7513,82.1488,131.8960,162.5736,118.4544,89.0859,92.7437,74.5773,65.2708,96.7064,58.5989,99.9603,127.4043,88.3555,51.0843,53.4200,43.1992,39.0447,57.1290,40.1984,46.8959,63.5531,51.8411,20.2300,28.3355,21.6120,0.060674,0.074522,0
217.3046,158.7751,88.1180,225.9068,231.6765,219.8359,230.2473,227.1045,206.2696,222.7481,226.5741,166.2461,122.9319,159.0229,185.7080,178.8776,160.2200,159.7829,166.8238,169.0563,126.2861,68.0692,96.3347,104.0969,97.1730,98.7715,61.3448,95.3619,114.0792,57.8691,0.060657,0.060914,0
156.2469,123.8979,68.9174,156.2915,185.5156,163.4786,147.7684,161.5984,166.4347,145.2308,136.5541,143.8211,127.8210,152.2231,131.1440,113.0313,120.0027,136.7037,115.5684,105.2435,113.9285,86.8856,90.9222,83.1317,61.5059,36.0667,81.5875,68.9322,43.9112,68.5336,0.050201,0.060810,0
177.6239,173.8640,162.7247,214.3453,194.5075,192.5396,211.3970,183.6261,186.6832,174.9697,111.1629,131.6488,221.9694,174.0955,181.8844,216.2216,165.3757,174.8680,185.2887,99.9480,147.5973,215.8125,151.9918,181.2509,211.4562,137.6843,171.1011,177.8232,69.7803,150.3843,0.033045,0.044773,0
169.6619,152.5006,138.9151,209.2819,177.0759,191.9197,159.5051,155.2136,186.0808,146.6757,144.5640,158.1024,203.9760,166.6561,185.7657,134.4059,128.0141,164.9235,134.7851,124.6501,131.5021,207.0022,160.1260,170.3298,116.6405,102.2707,153.1189,123.8881,103.3885,116.2776,0.059653,0.073539,0
129.2193,107.3926,87.5656,128.2807,139.0552,103.9902,125.2303,174.6869,82.1592,158.0692,150.4627,101.0323,95.3638,113.3682,83.9178,106.4468,152.4259,80.0811,132.8832,125.6008,76.0253,73.6776,97.5959,66.2079,85.3127,131.8011,62.9075,106.5051,102.0605,61.5584,0.064801,0.062334,0
105.6598,90.5502,78.9440,103.6368,104.6882,89.3279,106.4859,133.6427,95.8941,80.4603,129.9763,106.0880,95.5141,94.2014,71.2473,97.5865,106.7659,85.8411,76.6359,98.2013,88.7179,78.9749,91.3837,54.0574,82.8470,92.1440,80.2229,62.5976,85.9861,81.8685,0.065903,0.075434,0
162.1267,142.4723,119.7950,180.0928,207.2870,211.4235,167.6829,134.3316,158.4862,136.7237,107.9569,157.5172,156.1724,189.5597,204.6594,147.3476,118.7140,137.3694,114.1288,88.3055,128.4757,130.0611,168.1997,196.7478,123.3387,78.7943,112.4877,96.4054,73.5373,101.3376,0.039625,0.053690,0
180.9996,166.9076,122.2132,155.3478,177.4091,158.6146,193.4077,166.3238,207.8335,192.7519,174.2543,203.0337,128.0329,169.7271,143.8611,167.1068,151.9638,202.0116,174.6270,167.7404,196.6853,93.3157,130.5263,106.0065,126.3131,90.2455,160.2126,140.5245,110.7638,141.9248,0.093013,0.101651,0
181.2334,124.2038,71.5045,197.8158,197.2200,156.4716,173.9324,178.5142,210.1759,155.7911,152.9270,208.0368,132.1228,108.0548,108.2388,110.5726,102.3704,169.6290,102.9128,113.1643,170.4087,94.7239,50.5768,67.1936,58.7700,38.8139,117.9374,44.4747,54.2281,116.6014,0.047753,0.056053,0
140.7184,102.9014,55.4710,148.8417,159.5371,124.2394,151.1387,130.8219,175.2400,118.1847,109.7254,148.6835,116.8710,112.9483,89.4473,112.9025,92.3346,104.2330,121.3764,79.8625,96.7029,82.9015,50.8194,40.1076,62.9292,47.4905,42.0362,49.7970,49.1333,74.4140,0.099645,0.085171,0
103.5545,75.3787,59.0711,113.7398,115.0942,117.5701,88.8926,83.1698,87.5938,98.6416,120.6743,106.9637,74.0133,74.5566,101.2314,73.7773,58.4777,62.1454,79.0297,83.7424,71.7595,60.4430,55.6339,92.5825,67.5243,41.0924,48.7175,66.1371,54.4018,45.7515,0.056518,0.052863,0
177.0825,135.1794,67.9176,184.3703,196.5022,186.9111,194.6593,173.1790,167.2305,191.1424,187.4899,113.7076,137.1516,131.1136,132.6768,150.4527,124.6111,134.6851,146.6282,137.6422,122.0217,78.1773,30.9425,77.1035,87.3234,48.2067,84.8219,85.4969,50.3777,69.4074,0.066036,0.066593,0
